name,lon,lat,extId
AACHEN HBF (Germany),6.091387,50.767776,008015345
AACHEN WEST (Germany),6.070829,50.78028,008015199
AACHEN-ROTHE ERDE (Germany),6.116386,50.770275,008015342
AACHEN SCHANZ (Germany),6.073885,50.769996,008031372
AACHEN-EILENDORF (Germany),6.154447,50.785556,008015341
HAACHT (Belgium),4.613057,50.966392,008822517
OBERAACH (Switzerland),9.270836,47.553332,008506108
ANSBACH (Germany),10.578335,49.298057,008022728
ANDERNACH (Germany),7.40472,50.434447,008019009
ALTBACH (Germany),9.3825,48.720276,008029058
AACHEN HBF (Germany),6.091387,50.767776,008015345
AACHEN WEST (Germany),6.070829,50.78028,008015199
AACHEN SCHANZ (Germany),6.073885,50.769996,008031372
AACHEN-ROTHE ERDE (Germany),6.116386,50.770275,008015342
AACHEN-EILENDORF (Germany),6.154447,50.785556,008015341
ACHENLOHE (Austria),13.197774,48.046112,008102044
AURACHKIRCHEN (Austria),13.745558,47.968058,008101922
LACHEN (Switzerland),8.852775,47.189997,008503220
MOENCHENGLADBACH HBF (Germany),6.446111,51.196669,008015165
MUENCHEN-ALLACH (Germany),11.46806,48.190002,008020468
AALEN HBF (Germany),10.096387,48.841109,008029549
AALEN (Norway),11.315001,62.846392,007601012
AALEN-HOFEN (Germany),10.114447,48.872778,008029551
AALEN-UNTERKOCHEN (Germany),10.126393,48.815004,008029697
AALEN-WASSERALFINGEN (Germany),10.103615,48.858611,008029550
Aalborg (Denmark),9.916945,57.042777,008600020
AALST (Belgium),4.039447,50.942778,008895000
AALTER (Belgium),3.447777,51.092223,008891140
AAlholm (Denmark),12.493055,55.672497,008650741
AAlholm (Denmark),12.493334,55.672218,008651741
ABENSBERG (Germany),11.846668,48.819445,008026323
LUTHERSTADT WITTENBERG-LABETZ (Germany),12.694171,51.87139,008023254
NEURENBERG (Germany),11.078054,49.450829,008022198
NEUSTADT AM RUEBENBERGE (Germany),9.455277,52.503332,008013728
ABERGAVENNY (United Kingdom),-3.008329,51.814165,007036020
ABERGELE + PENSARN (United Kingdom),-3.579998,53.291947,007024480
NEURENBERG C (Germany),11.083052,49.445552,008022193
KAPFENBERG (Austria),15.292224,47.445003,008103155
HERRENBERG (Germany),8.86278,48.593887,008029394
ALTENBERGE (Germany),7.481389,52.052226,008021148
ABENSBERG (Germany),11.846668,48.819445,008026323
ABERGELE + PENSARN (United Kingdom),-3.579998,53.291947,007024480
TOENSBERG (Norway),10.409446,59.27194,007601510
POTSDAM MEDIENSTADT BABELSBERG (Germany),13.122219,52.382778,008003502
MOENSBERG (Belgium),4.330553,50.778059,008814431
ASCHEBERG-DAVENSBERG (Germany),7.59806,51.818057,008021545
ABERGAVENNY (United Kingdom),-3.008329,51.814165,007036020
RABENSBURG (Austria),16.894444,48.65194,008102826
ABENDEN (Germany),6.476386,50.671115,008088401
POTSDAM-BABELSBERG (Germany),13.09278,52.391389,008003478
ACHERN (Germany),8.065275,48.633889,008014283
ACHERN STADT (Germany),8.067774,48.625835,008040102
ACHERN-OBERACHERN (Germany),8.079163,48.614167,008040103
ACHERES VILLE (France),2.07667,48.970553,008738165
ACHERES GD CORMIER (France),2.0925,48.955281,008738605
