name,extID,minswitches,minduration
AACHEN HBF (Germany),008015345,1,5.783333333333333
AACHEN WEST (Germany),008015199,1,6.033333333333333
AACHEN-ROTHE ERDE (Germany),008015342,1,5.983333333333333
AACHEN SCHANZ (Germany),008031372,1,6.066666666666666
AACHEN-EILENDORF (Germany),008015341,2,6.033333333333333
ANSBACH (Germany),008022728,1,3.5
ANDERNACH (Germany),008019009,1,6.05
ALTBACH (Germany),008029058,2,6.116666666666666
MOENCHENGLADBACH HBF (Germany),008015165,1,5.066666666666666
MUENCHEN-ALLACH (Germany),008020468,2,4.3
AALEN HBF (Germany),008029549,1,4.783333333333333
AALEN-HOFEN (Germany),008029551,2,5.183333333333334
AALEN-UNTERKOCHEN (Germany),008029697,2,5.366666666666666
AALEN-WASSERALFINGEN (Germany),008029550,1,5.216666666666667
ABENSBERG (Germany),008026323,1,4.433333333333334
LUTHERSTADT WITTENBERG-LABETZ (Germany),008023254,1,1.4166666666666667
NEURENBERG (Germany),008022198,0,2.716666666666667
NEUSTADT AM RUEBENBERGE (Germany),008013728,1,2.6666666666666665
NEURENBERG C (Germany),008022193,0,2.716666666666667
HERRENBERG (Germany),008029394,1,6.1
ALTENBERGE (Germany),008021148,2,4.5
POTSDAM MEDIENSTADT BABELSBERG (Germany),008003502,0,Inf
ASCHEBERG-DAVENSBERG (Germany),008021545,1,4.666666666666667
ABENDEN (Germany),008088401,2,7.016666666666667
POTSDAM-BABELSBERG (Germany),008003478,0,Inf
ACHERN (Germany),008014283,1,6.016666666666667
ACHERN STADT (Germany),008040102,2,6.1
ACHERN-OBERACHERN (Germany),008040103,2,6.15
BACHERN (Germany),008020457,2,4.916666666666667
MACHERN(SACHS) (Germany),008023477,2,1.9
ACHIM (Germany),008013746,1,3.3
JOACHIMSTHAL (Germany),008028253,1,Inf
JOACHIMSTHAL KAISERBAHNHOF (Germany),008028252,1,Inf
ACHMER (Germany),008021264,1,3.716666666666667
ADELSHEIM OST (Germany),008029647,1,6.15
ADELSHEIM NORD (Germany),008014165,1,5.983333333333333
ADELSHEIM-SENNFELD (Germany),008029646,1,6.05
GONDELSHEIM(BADEN) (Germany),008014093,2,6.166666666666667
DIEDELSHEIM (Germany),008039252,2,6.216666666666667
HEIDELSHEIM (Germany),008014091,2,6.066666666666666
HEIDELSHEIM NORD (Germany),008039250,2,6.05
GONDELSHEIM SCHLOSSSTADION (Germany),008039251,2,6.15
BUECHES-DUEDELSHEIM (Germany),008011227,2,4.916666666666667
GUNDELSHEIM(NECKAR) (Germany),008014132,2,6.283333333333333
REICHENAU(BADEN) (Germany),008014583,2,8.2
HEIDENAU (Germany),008008933,1,2.3333333333333335
HEIDENAU SUED (Germany),008006027,1,2.3666666666666667
NEUDENAU (Germany),008029641,1,6.666666666666667
ADELSCHLAG (Germany),008020403,1,4.233333333333333
BERLIN-FRIEDENAU (Germany),008033462,0,Inf
ADORF(VOGTL) (Germany),008006725,2,4.35
ADORF(ERZGEB) (Germany),008042905,2,3.533333333333333
AUERBACH(VOGTL) HP (Germany),008059002,2,4.183333333333334
LIMBACH(VOGTL) (Germany),008006707,2,3.55
GRUENBACH(VOGTL) (Germany),008059017,2,4.466666666666667
SCHOENECK(VOGTL) (Germany),008059009,2,4.65
OELSNITZ(VOGTL) (Germany),008006723,2,4.15
LENGENFELD(VOGTL) (Germany),008059006,2,4.083333333333333
FALKENSTEIN(VOGTL) (Germany),008059003,2,4.216666666666667
PLAUEN(VOGTL)WEST (Germany),008006719,2,3.8833333333333333
AHAUS (Germany),008021123,1,5.716666666666667
BERMATINGEN-AHAUSEN (Germany),008014624,2,7.25
AHA (Germany),008014378,1,7.483333333333333
OBERHAUSEN HBF (Germany),008010263,1,4.516666666666667
AHLEN(WESTF) (Germany),008013616,1,3.55
DAHLEN(SACHS) (Germany),008023484,1,2.05
DAHLENBURG (Germany),008001150,1,3.0833333333333335
MOENCHENGLADBACH-RHEINDAHLEN (Germany),008015218,2,5.75
AHLTEN (Germany),008013542,1,2.7
AHLHORN (Germany),008021249,1,4.3
AHLBECK GRENZE (Germany),008044415,1,4.033333333333333
AHLBECK SEEBAD (Germany),008044407,1,3.966666666666667
AHLBECK OSTSEETHERME (Germany),008044416,1,3.933333333333333
DAHLEWITZ (Germany),008003393,0,Inf
AHRENSBURG (Germany),008001628,1,2.1333333333333333
AHRENSBURG-GARTENHOLZ (Germany),008089940,1,2.5833333333333335
AHRENSFELDE (S) (Germany),008085752,0,Inf
AHRENSFELDE (Germany),008003244,0,Inf
AHRENSFELDE NORD (Germany),008003246,0,Inf
AHRENSFELDE FRIEDHOF (Germany),008003245,0,Inf
REGENSBURG HBF (Germany),008026294,1,4.433333333333334
HAMBURG-BAHRENFELD (Germany),008001103,2,2.1333333333333333
AICHACH (Germany),008002135,1,4.533333333333333
BLAICHACH(ALLGAEU) (Germany),008002343,1,6.2
AICHSTETTEN (Germany),008029216,3,6.15
AICH(NIEDERBAY) (Germany),008026372,2,5.683333333333334
KRAICHTAL-BAHNBRUEC. (Germany),008042124,1,6.583333333333333
KRAICHTAL-GOCHSHEIM (Germany),008042123,1,6.533333333333333
KRAICHTAL-MENZINGEN (Germany),008042125,1,6.616666666666666
KRAICHTAL-MUENZESH. (Germany),008042122,1,6.466666666666667
KRAICHTAL-MUENZESHE. (Germany),008042126,1,6.5
KRAICHTAL-OBEROEWIS. (Germany),008042121,1,6.416666666666667
KRAICHTAL-UNTEROEWI. (Germany),008042120,1,6.383333333333334
DINSLAKEN (Germany),008010269,1,4.8
WAKENDORF (Germany),008047223,2,3.1333333333333333
QUAKENBRUECK (Germany),008021256,1,4.1
BERLIN-STAAKEN (Germany),008003521,0,Inf
ALBSTADT-EBINGEN (Germany),008029350,1,7.45
ALBSTADT-EBINGEN WEST (Germany),008039116,2,7.816666666666666
ALBSTADT-LAUFEN ORT (Germany),008029664,2,7.733333333333333
ALBSTADT-LAUTLINGEN (Germany),008029348,2,7.783333333333333
HALBERSTADT (Germany),008024154,1,2.7666666666666666
ALBSHAUSEN (Germany),008011428,1,5.3
ALBSHEIM(EIS) (Germany),008019349,3,6.033333333333333
UBSTADT ORT (Germany),008042102,1,5.95
HALBERSTADT OSTSTR (Germany),008024332,1,2.8833333333333333
HALBERSTADT-SPIEGELSBERGE (Germany),008024444,1,2.933333333333333
ALFELD(LEINE) (Germany),008013063,1,2.85
SAALFELD(SAALE) (Germany),008016332,1,3.1
ILFELD (Germany),008059815,3,3.45
DELLFELD (Germany),008019677,2,6.85
ALLENDORF(DILLKR) (Germany),008088423,2,6.183333333333334
BAD SOODEN-ALLENDORF (Germany),008005445,1,3.3666666666666667
STADTALLENDORF (Germany),008005382,1,3.9833333333333334
HALLE-AMMENDORF (Germany),008023005,1,1.25
MELLENDORF (Germany),008013685,1,2.55
